Sr No.,"Date of
Encashment",Name of the Political Party,"Account no. of
Political Party",Prefix,"Bond
Number",Denominations,"Pay Branch
Code",Pay Teller,MM,COM,OOO
1,12-Apr-2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,OC,775,10000000.00,00800,2770121,OC775,#N/A,10000000.00
2,12-Apr-2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,OC,3975,10000000.00,00800,2770121,OC3975,#N/A,10000000.00
3,12-Apr-2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,OC,3967,10000000.00,00800,2770121,OC3967,#N/A,10000000.00
4,12-Apr-2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10418,1000000.00,00800,2770121,TL10418,#N/A,1000000.00
68,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,4321,10000000.00,00691,3627829,OC4321,#N/A,10000000.00
69,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5861,10000000.00,00691,3627829,OC5861,#N/A,10000000.00
70,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,4325,10000000.00,00691,3627829,OC4325,#N/A,10000000.00
71,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5843,10000000.00,00691,3627829,OC5843,#N/A,10000000.00
72,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5837,10000000.00,00691,3627829,OC5837,#N/A,10000000.00
73,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5817,10000000.00,00691,3627829,OC5817,#N/A,10000000.00
74,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,4319,10000000.00,00691,3627829,OC4319,#N/A,10000000.00
75,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,4293,10000000.00,00691,3627829,OC4293,#N/A,10000000.00
76,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,4305,10000000.00,00691,3627829,OC4305,#N/A,10000000.00
77,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5801,10000000.00,00691,3627829,OC5801,#N/A,10000000.00
78,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5825,10000000.00,00691,3627829,OC5825,#N/A,10000000.00
79,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,4313,10000000.00,00691,3627829,OC4313,#N/A,10000000.00
80,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5805,10000000.00,00691,3627829,OC5805,#N/A,10000000.00
81,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5829,10000000.00,00691,3627829,OC5829,#N/A,10000000.00
82,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5821,10000000.00,00691,3627829,OC5821,#N/A,10000000.00
83,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5839,10000000.00,00691,3627829,OC5839,#N/A,10000000.00
84,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5841,10000000.00,00691,3627829,OC5841,#N/A,10000000.00
85,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5813,10000000.00,00691,3627829,OC5813,#N/A,10000000.00
86,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5833,10000000.00,00691,3627829,OC5833,#N/A,10000000.00
87,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,4327,10000000.00,00691,3627829,OC4327,#N/A,10000000.00
88,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,4311,10000000.00,00691,3627829,OC4311,#N/A,10000000.00
89,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,4347,10000000.00,00691,3627829,OC4347,#N/A,10000000.00
90,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,4317,10000000.00,00691,3627829,OC4317,#N/A,10000000.00
91,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5809,10000000.00,00691,3627829,OC5809,#N/A,10000000.00
92,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5855,10000000.00,00691,3627829,OC5855,#N/A,10000000.00
93,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,4333,10000000.00,00691,3627829,OC4333,#N/A,10000000.00
94,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,4335,10000000.00,00691,3627829,OC4335,#N/A,10000000.00
95,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,4337,10000000.00,00691,3627829,OC4337,#N/A,10000000.00
96,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,4343,10000000.00,00691,3627829,OC4343,#N/A,10000000.00
97,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,4295,10000000.00,00691,3627829,OC4295,#N/A,10000000.00
98,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,4331,10000000.00,00691,3627829,OC4331,#N/A,10000000.00
99,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5819,10000000.00,00691,3627829,OC5819,#N/A,10000000.00
100,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5853,10000000.00,00691,3627829,OC5853,#N/A,10000000.00
101,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5857,10000000.00,00691,3627829,OC5857,#N/A,10000000.00
102,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,4349,10000000.00,00691,3627829,OC4349,#N/A,10000000.00
103,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5803,10000000.00,00691,3627829,OC5803,#N/A,10000000.00
104,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5849,10000000.00,00691,3627829,OC5849,#N/A,10000000.00
105,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,4299,10000000.00,00691,3627829,OC4299,#N/A,10000000.00
106,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,4329,10000000.00,00691,3627829,OC4329,#N/A,10000000.00
107,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,4315,10000000.00,00691,3627829,OC4315,#N/A,10000000.00
108,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,4339,10000000.00,00691,3627829,OC4339,#N/A,10000000.00
109,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5835,10000000.00,00691,3627829,OC5835,#N/A,10000000.00
110,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5807,10000000.00,00691,3627829,OC5807,#N/A,10000000.00
111,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5811,10000000.00,00691,3627829,OC5811,#N/A,10000000.00
112,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,4309,10000000.00,00691,3627829,OC4309,#N/A,10000000.00
113,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,4341,10000000.00,00691,3627829,OC4341,#N/A,10000000.00
114,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5815,10000000.00,00691,3627829,OC5815,#N/A,10000000.00
115,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,4345,10000000.00,00691,3627829,OC4345,#N/A,10000000.00
116,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5851,10000000.00,00691,3627829,OC5851,#N/A,10000000.00
117,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,4297,10000000.00,00691,3627829,OC4297,#N/A,10000000.00
118,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5845,10000000.00,00691,3627829,OC5845,#N/A,10000000.00
119,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,4307,10000000.00,00691,3627829,OC4307,#N/A,10000000.00
120,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,4323,10000000.00,00691,3627829,OC4323,#N/A,10000000.00
121,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5859,10000000.00,00691,3627829,OC5859,#N/A,10000000.00
122,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5823,10000000.00,00691,3627829,OC5823,#N/A,10000000.00
123,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5856,10000000.00,00691,3627829,OC5856,#N/A,10000000.00
124,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5868,10000000.00,00691,3627829,OC5868,#N/A,10000000.00
125,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5870,10000000.00,00691,3627829,OC5870,#N/A,10000000.00
126,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5846,10000000.00,00691,3627829,OC5846,#N/A,10000000.00
127,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5866,10000000.00,00691,3627829,OC5866,#N/A,10000000.00
128,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5848,10000000.00,00691,3627829,OC5848,#N/A,10000000.00
129,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5852,10000000.00,00691,3627829,OC5852,#N/A,10000000.00
130,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5874,10000000.00,00691,3627829,OC5874,#N/A,10000000.00
131,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5872,10000000.00,00691,3627829,OC5872,#N/A,10000000.00
132,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5850,10000000.00,00691,3627829,OC5850,#N/A,10000000.00
133,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5858,10000000.00,00691,3627829,OC5858,#N/A,10000000.00
134,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5864,10000000.00,00691,3627829,OC5864,#N/A,10000000.00
135,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5862,10000000.00,00691,3627829,OC5862,#N/A,10000000.00
136,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5860,10000000.00,00691,3627829,OC5860,#N/A,10000000.00
137,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5854,10000000.00,00691,3627829,OC5854,#N/A,10000000.00
138,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5818,10000000.00,00691,3627829,OC5818,#N/A,10000000.00
139,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5840,10000000.00,00691,3627829,OC5840,#N/A,10000000.00
140,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5844,10000000.00,00691,3627829,OC5844,#N/A,10000000.00
141,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5836,10000000.00,00691,3627829,OC5836,#N/A,10000000.00
142,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5820,10000000.00,00691,3627829,OC5820,#N/A,10000000.00
143,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5828,10000000.00,00691,3627829,OC5828,#N/A,10000000.00
144,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5832,10000000.00,00691,3627829,OC5832,#N/A,10000000.00
145,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5842,10000000.00,00691,3627829,OC5842,#N/A,10000000.00
146,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5830,10000000.00,00691,3627829,OC5830,#N/A,10000000.00
147,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5834,10000000.00,00691,3627829,OC5834,#N/A,10000000.00
148,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5824,10000000.00,00691,3627829,OC5824,#N/A,10000000.00
149,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5822,10000000.00,00691,3627829,OC5822,#N/A,10000000.00
150,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5826,10000000.00,00691,3627829,OC5826,#N/A,10000000.00
151,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5838,10000000.00,00691,3627829,OC5838,#N/A,10000000.00
152,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5802,10000000.00,00691,3627829,OC5802,#N/A,10000000.00
153,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,4342,10000000.00,00691,3627829,OC4342,#N/A,10000000.00
154,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,4334,10000000.00,00691,3627829,OC4334,#N/A,10000000.00
155,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5804,10000000.00,00691,3627829,OC5804,#N/A,10000000.00
156,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,4340,10000000.00,00691,3627829,OC4340,#N/A,10000000.00
157,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,4348,10000000.00,00691,3627829,OC4348,#N/A,10000000.00
158,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,4346,10000000.00,00691,3627829,OC4346,#N/A,10000000.00
159,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,4330,10000000.00,00691,3627829,OC4330,#N/A,10000000.00
160,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,4344,10000000.00,00691,3627829,OC4344,#N/A,10000000.00
161,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,4338,10000000.00,00691,3627829,OC4338,#N/A,10000000.00
162,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,4332,10000000.00,00691,3627829,OC4332,#N/A,10000000.00
163,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,4336,10000000.00,00691,3627829,OC4336,#N/A,10000000.00
164,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5806,10000000.00,00691,3627829,OC5806,#N/A,10000000.00
165,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,4350,10000000.00,00691,3627829,OC4350,#N/A,10000000.00
166,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,6603,10000000.00,00691,3627829,OC6603,#N/A,10000000.00
167,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5886,10000000.00,00691,3627829,OC5886,#N/A,10000000.00
168,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5896,10000000.00,00691,3627829,OC5896,#N/A,10000000.00
169,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5890,10000000.00,00691,3627829,OC5890,#N/A,10000000.00
170,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5888,10000000.00,00691,3627829,OC5888,#N/A,10000000.00
171,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,6609,10000000.00,00691,3627829,OC6609,#N/A,10000000.00
172,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5882,10000000.00,00691,3627829,OC5882,#N/A,10000000.00
173,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,6607,10000000.00,00691,3627829,OC6607,#N/A,10000000.00
174,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,6611,10000000.00,00691,3627829,OC6611,#N/A,10000000.00
175,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5892,10000000.00,00691,3627829,OC5892,#N/A,10000000.00
176,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5894,10000000.00,00691,3627829,OC5894,#N/A,10000000.00
177,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,6605,10000000.00,00691,3627829,OC6605,#N/A,10000000.00
178,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5885,10000000.00,00691,3627829,OC5885,#N/A,10000000.00
179,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5871,10000000.00,00691,3300196,OC5871,#N/A,10000000.00
180,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5875,10000000.00,00691,3627829,OC5875,#N/A,10000000.00
181,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5873,10000000.00,00691,3627829,OC5873,#N/A,10000000.00
182,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,2588,10000000.00,00691,3300196,OC2588,#N/A,10000000.00
183,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,2793,10000000.00,00691,3300196,OC2793,#N/A,10000000.00
184,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,2810,10000000.00,00691,3300196,OC2810,#N/A,10000000.00
185,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,4488,10000000.00,00691,3300196,OC4488,#N/A,10000000.00
